| theta_a_raw | theta_g_raw | theta_a | theta_g | theta_f |
|       0.057 |       0.013 |   0.051 |   0.003 |   0.053 |
|       0.059 |       0.013 |   0.051 |   0.003 |   0.053 |
|       0.054 |       0.013 |   0.051 |   0.002 |   0.053 |
|       0.055 |       0.013 |   0.051 |   0.002 |   0.053 |
|       0.052 |       0.013 |   0.051 |   0.002 |   0.053 |
|       0.049 |       0.012 |   0.051 |   0.001 |   0.052 |
|       0.047 |       0.012 |   0.051 |   0.001 |   0.052 |
|       0.047 |       0.011 |   0.051 |   0.000 |   0.051 |
|       0.053 |       0.011 |   0.051 |  -0.000 |   0.051 |
|       0.049 |       0.010 |   0.051 |  -0.001 |   0.050 |
|       0.049 |       0.010 |   0.051 |  -0.001 |   0.050 |
|       0.040 |       0.009 |   0.050 |  -0.001 |   0.049 |
|       0.044 |       0.009 |   0.050 |  -0.002 |   0.048 |
|       0.050 |       0.008 |   0.050 |  -0.003 |   0.048 |
|       0.033 |       0.008 |   0.050 |  -0.003 |   0.047 |
|       0.045 |       0.007 |   0.050 |  -0.004 |   0.046 |
|       0.054 |       0.006 |   0.050 |  -0.004 |   0.046 |
|       0.048 |       0.005 |   0.050 |  -0.005 |   0.045 |
|       0.046 |       0.005 |   0.050 |  -0.006 |   0.044 |
|       0.044 |       0.003 |   0.050 |  -0.007 |   0.043 |
|       0.064 |       0.002 |   0.050 |  -0.008 |   0.042 |
|       0.054 |       0.001 |   0.050 |  -0.009 |   0.041 |
|       0.056 |      -0.001 |   0.050 |  -0.011 |   0.039 |
|       0.069 |      -0.003 |   0.051 |  -0.013 |   0.038 |
|       0.061 |      -0.006 |   0.051 |  -0.015 |   0.035 |
|       0.061 |      -0.009 |   0.051 |  -0.018 |   0.033 |
|       0.066 |      -0.012 |   0.051 |  -0.021 |   0.030 |
|       0.057 |      -0.016 |   0.051 |  -0.024 |   0.027 |
|       0.039 |      -0.020 |   0.051 |  -0.028 |   0.023 |
|       0.022 |      -0.025 |   0.051 |  -0.032 |   0.018 |
|       0.006 |      -0.030 |   0.050 |  -0.036 |   0.013 |
|       0.009 |      -0.035 |   0.049 |  -0.041 |   0.008 |
|       0.070 |      -0.041 |   0.049 |  -0.046 |   0.003 |
|       0.027 |      -0.047 |   0.049 |  -0.051 |  -0.002 |
|       0.046 |      -0.054 |   0.049 |  -0.057 |  -0.008 |
|       0.014 |      -0.061 |   0.048 |  -0.063 |  -0.015 |
|       0.001 |      -0.069 |   0.047 |  -0.070 |  -0.022 |
|      -0.000 |      -0.078 |   0.046 |  -0.077 |  -0.031 |
|      -0.016 |      -0.087 |   0.045 |  -0.085 |  -0.040 |
|      -0.031 |      -0.097 |   0.043 |  -0.093 |  -0.049 |
|      -0.045 |      -0.107 |   0.042 |  -0.101 |  -0.060 |
|      -0.048 |      -0.118 |   0.040 |  -0.110 |  -0.070 |
|      -0.057 |      -0.129 |   0.038 |  -0.119 |  -0.081 |
|      -0.062 |      -0.140 |   0.036 |  -0.128 |  -0.092 |
|      -0.097 |      -0.152 |   0.033 |  -0.138 |  -0.104 |
|      -0.123 |      -0.165 |   0.030 |  -0.147 |  -0.117 |
|      -0.140 |      -0.178 |   0.027 |  -0.158 |  -0.131 |
|      -0.178 |      -0.191 |   0.023 |  -0.168 |  -0.145 |
|      -0.192 |      -0.205 |   0.018 |  -0.178 |  -0.159 |
|      -0.194 |      -0.219 |   0.014 |  -0.188 |  -0.174 |
|      -0.184 |      -0.233 |   0.010 |  -0.199 |  -0.188 |
|      -0.153 |      -0.248 |   0.007 |  -0.210 |  -0.203 |
|      -0.246 |      -0.264 |   0.002 |  -0.221 |  -0.219 |
|      -0.263 |      -0.280 |  -0.003 |  -0.233 |  -0.236 |
|      -0.274 |      -0.296 |  -0.009 |  -0.244 |  -0.253 |
|      -0.253 |      -0.313 |  -0.014 |  -0.257 |  -0.270 |
|      -0.290 |      -0.331 |  -0.019 |  -0.269 |  -0.289 |
|      -0.351 |      -0.349 |  -0.026 |  -0.282 |  -0.308 |
|      -0.385 |      -0.368 |  -0.033 |  -0.295 |  -0.329 |
|      -0.401 |      -0.387 |  -0.040 |  -0.308 |  -0.348 |
|      -0.415 |      -0.405 |  -0.048 |  -0.320 |  -0.368 |
|      -0.430 |      -0.424 |  -0.056 |  -0.333 |  -0.388 |
|      -0.438 |      -0.443 |  -0.063 |  -0.345 |  -0.409 |
|      -0.494 |      -0.463 |  -0.072 |  -0.358 |  -0.430 |
|      -0.562 |      -0.483 |  -0.082 |  -0.371 |  -0.452 |
|      -0.608 |      -0.502 |  -0.092 |  -0.383 |  -0.475 |
|      -0.611 |      -0.522 |  -0.103 |  -0.395 |  -0.497 |
|      -0.616 |      -0.541 |  -0.113 |  -0.406 |  -0.519 |
|      -0.641 |      -0.560 |  -0.123 |  -0.417 |  -0.541 |
|      -0.689 |      -0.580 |  -0.135 |  -0.428 |  -0.563 |
|      -0.717 |      -0.598 |  -0.146 |  -0.439 |  -0.585 |
|      -0.726 |      -0.617 |  -0.158 |  -0.449 |  -0.606 |
|      -0.750 |      -0.636 |  -0.170 |  -0.458 |  -0.628 |
|      -0.767 |      -0.654 |  -0.182 |  -0.467 |  -0.649 |
|      -0.788 |      -0.672 |  -0.194 |  -0.476 |  -0.670 |
|      -0.821 |      -0.691 |  -0.206 |  -0.486 |  -0.692 |
|      -0.820 |      -0.711 |  -0.219 |  -0.495 |  -0.714 |
|      -0.944 |      -0.731 |  -0.233 |  -0.506 |  -0.739 |
|      -0.922 |      -0.752 |  -0.247 |  -0.517 |  -0.764 |
|      -0.896 |      -0.775 |  -0.260 |  -0.529 |  -0.789 |
|      -0.943 |      -0.796 |  -0.274 |  -0.540 |  -0.813 |
|      -0.978 |      -0.817 |  -0.288 |  -0.550 |  -0.838 |
|      -1.013 |      -0.839 |  -0.302 |  -0.561 |  -0.863 |
|      -0.927 |      -0.860 |  -0.315 |  -0.570 |  -0.885 |
|      -0.918 |      -0.880 |  -0.327 |  -0.580 |  -0.906 |
|      -0.979 |      -0.902 |  -0.340 |  -0.590 |  -0.930 |
|      -1.084 |      -0.923 |  -0.355 |  -0.599 |  -0.954 |
|      -1.106 |      -0.944 |  -0.370 |  -0.607 |  -0.977 |
|      -1.132 |      -0.963 |  -0.385 |  -0.615 |  -1.000 |
|      -1.133 |      -0.981 |  -0.400 |  -0.620 |  -1.020 |
|      -1.210 |      -0.997 |  -0.416 |  -0.624 |  -1.040 |
|      -1.198 |      -1.016 |  -0.432 |  -0.630 |  -1.062 |
|      -1.176 |      -1.035 |  -0.447 |  -0.637 |  -1.083 |
|      -1.177 |      -1.055 |  -0.461 |  -0.645 |  -1.106 |
|      -1.188 |      -1.076 |  -0.476 |  -0.652 |  -1.128 |
|      -1.140 |      -1.101 |  -0.489 |  -0.665 |  -1.154 |
|      -1.085 |      -1.130 |  -0.501 |  -0.680 |  -1.181 |
|      -1.114 |      -1.162 |  -0.513 |  -0.698 |  -1.211 |
|      -1.414 |      -1.197 |  -0.531 |  -0.720 |  -1.251 |
|      -1.508 |      -1.236 |  -0.551 |  -0.744 |  -1.295 |
|      -1.559 |      -1.275 |  -0.571 |  -0.768 |  -1.339 |
|      -1.646 |      -1.312 |  -0.592 |  -0.790 |  -1.382 |
|      -1.726 |      -1.347 |  -0.615 |  -0.809 |  -1.425 |
|      -1.753 |      -1.380 |  -0.638 |  -0.825 |  -1.463 |
|      -1.743 |      -1.408 |  -0.660 |  -0.838 |  -1.498 |
|      -1.761 |      -1.433 |  -0.682 |  -0.846 |  -1.528 |
|      -1.820 |      -1.456 |  -0.705 |  -0.852 |  -1.557 |
|      -1.775 |      -1.478 |  -0.726 |  -0.856 |  -1.583 |
|      -1.726 |      -1.499 |  -0.746 |  -0.860 |  -1.606 |
|      -1.836 |      -1.518 |  -0.768 |  -0.862 |  -1.630 |
|      -1.942 |      -1.535 |  -0.791 |  -0.862 |  -1.654 |
|      -1.914 |      -1.550 |  -0.814 |  -0.860 |  -1.674 |
|      -1.858 |      -1.561 |  -0.835 |  -0.854 |  -1.688 |
|      -1.940 |      -1.566 |  -0.857 |  -0.841 |  -1.698 |
|      -1.958 |      -1.563 |  -0.879 |  -0.822 |  -1.701 |
|      -1.743 |      -1.565 |  -0.896 |  -0.807 |  -1.703 |
|      -1.932 |      -1.565 |  -0.917 |  -0.791 |  -1.708 |
|      -1.873 |      -1.565 |  -0.936 |  -0.775 |  -1.711 |
|      -1.825 |      -1.565 |  -0.954 |  -0.760 |  -1.713 |
|      -1.887 |      -1.565 |  -0.972 |  -0.745 |  -1.717 |
|      -1.860 |      -1.565 |  -0.990 |  -0.730 |  -1.720 |
|      -1.850 |      -1.565 |  -1.007 |  -0.715 |  -1.723 |
|      -1.879 |      -1.566 |  -1.025 |  -0.701 |  -1.726 |
|      -1.889 |      -1.566 |  -1.042 |  -0.687 |  -1.730 |
|      -1.848 |      -1.566 |  -1.058 |  -0.674 |  -1.732 |
|      -1.837 |      -1.566 |  -1.074 |  -0.660 |  -1.734 |
|      -1.860 |      -1.566 |  -1.089 |  -0.647 |  -1.737 |
|      -1.861 |      -1.566 |  -1.105 |  -0.634 |  -1.739 |
|      -1.856 |      -1.566 |  -1.120 |  -0.621 |  -1.741 |
|      -1.851 |      -1.565 |  -1.135 |  -0.609 |  -1.743 |
|      -1.872 |      -1.566 |  -1.149 |  -0.597 |  -1.746 |
|      -1.858 |      -1.565 |  -1.163 |  -0.584 |  -1.748 |
|      -1.849 |      -1.565 |  -1.177 |  -0.573 |  -1.750 |
|      -1.844 |      -1.565 |  -1.191 |  -0.561 |  -1.752 |
|      -1.848 |      -1.565 |  -1.204 |  -0.550 |  -1.754 |
|      -1.882 |      -1.565 |  -1.217 |  -0.539 |  -1.756 |
|      -1.878 |      -1.565 |  -1.230 |  -0.528 |  -1.758 |
|      -1.842 |      -1.564 |  -1.243 |  -0.517 |  -1.760 |
|      -1.839 |      -1.565 |  -1.255 |  -0.507 |  -1.761 |
|      -1.878 |      -1.565 |  -1.267 |  -0.497 |  -1.764 |
|      -1.876 |      -1.565 |  -1.279 |  -0.487 |  -1.766 |
|      -1.859 |      -1.565 |  -1.291 |  -0.477 |  -1.768 |
|      -1.860 |      -1.565 |  -1.302 |  -0.467 |  -1.770 |
|      -1.873 |      -1.565 |  -1.314 |  -0.458 |  -1.772 |
|      -1.853 |      -1.564 |  -1.324 |  -0.448 |  -1.773 |
|      -1.842 |      -1.564 |  -1.335 |  -0.439 |  -1.774 |
|      -1.853 |      -1.564 |  -1.345 |  -0.431 |  -1.776 |
|      -1.861 |      -1.564 |  -1.355 |  -0.422 |  -1.777 |
|      -1.855 |      -1.564 |  -1.365 |  -0.413 |  -1.779 |
|      -1.850 |      -1.564 |  -1.375 |  -0.405 |  -1.780 |
|      -1.851 |      -1.564 |  -1.385 |  -0.397 |  -1.781 |
|      -1.864 |      -1.563 |  -1.394 |  -0.389 |  -1.783 |
|      -1.867 |      -1.563 |  -1.404 |  -0.381 |  -1.784 |
|      -1.861 |      -1.563 |  -1.413 |  -0.373 |  -1.786 |
|      -1.863 |      -1.563 |  -1.422 |  -0.366 |  -1.787 |
|      -1.873 |      -1.563 |  -1.431 |  -0.358 |  -1.789 |
|      -1.870 |      -1.563 |  -1.440 |  -0.351 |  -1.791 |
|      -1.863 |      -1.563 |  -1.448 |  -0.344 |  -1.792 |
|      -1.861 |      -1.563 |  -1.456 |  -0.337 |  -1.793 |
|      -1.860 |      -1.563 |  -1.464 |  -0.330 |  -1.794 |
|      -1.858 |      -1.562 |  -1.472 |  -0.323 |  -1.795 |
|      -1.855 |      -1.562 |  -1.480 |  -0.316 |  -1.796 |
|      -1.854 |      -1.562 |  -1.487 |  -0.310 |  -1.797 |
|      -1.856 |      -1.562 |  -1.495 |  -0.304 |  -1.798 |
|      -1.857 |      -1.562 |  -1.502 |  -0.297 |  -1.800 |
|      -1.858 |      -1.562 |  -1.509 |  -0.291 |  -1.801 |
|      -1.856 |      -1.562 |  -1.516 |  -0.286 |  -1.802 |
|      -1.860 |      -1.562 |  -1.523 |  -0.280 |  -1.803 |
|      -1.864 |      -1.562 |  -1.530 |  -0.274 |  -1.804 |
|      -1.865 |      -1.562 |  -1.537 |  -0.269 |  -1.805 |
|      -1.864 |      -1.562 |  -1.543 |  -0.263 |  -1.806 |
|      -1.866 |      -1.561 |  -1.550 |  -0.258 |  -1.807 |
|      -1.865 |      -1.561 |  -1.556 |  -0.252 |  -1.808 |
|      -1.869 |      -1.561 |  -1.562 |  -0.247 |  -1.809 |
|      -1.864 |      -1.561 |  -1.568 |  -0.242 |  -1.810 |
|      -1.859 |      -1.561 |  -1.574 |  -0.237 |  -1.811 |
|      -1.859 |      -1.561 |  -1.580 |  -0.232 |  -1.812 |
|      -1.861 |      -1.561 |  -1.585 |  -0.228 |  -1.813 |
|      -1.852 |      -1.561 |  -1.591 |  -0.223 |  -1.814 |
|      -1.850 |      -1.560 |  -1.596 |  -0.218 |  -1.814 |
|      -1.853 |      -1.560 |  -1.601 |  -0.214 |  -1.815 |
|      -1.858 |      -1.560 |  -1.606 |  -0.209 |  -1.816 |
|      -1.856 |      -1.560 |  -1.611 |  -0.205 |  -1.816 |
|      -1.859 |      -1.560 |  -1.616 |  -0.201 |  -1.817 |
|      -1.861 |      -1.560 |  -1.621 |  -0.197 |  -1.818 |
|      -1.862 |      -1.560 |  -1.626 |  -0.193 |  -1.819 |
|      -1.866 |      -1.560 |  -1.631 |  -0.189 |  -1.820 |
|      -1.867 |      -1.560 |  -1.635 |  -0.185 |  -1.821 |
|      -1.867 |      -1.560 |  -1.640 |  -0.182 |  -1.822 |
|      -1.865 |      -1.560 |  -1.644 |  -0.178 |  -1.822 |
|      -1.868 |      -1.560 |  -1.649 |  -0.174 |  -1.823 |
|      -1.863 |      -1.559 |  -1.653 |  -0.170 |  -1.824 |
|      -1.860 |      -1.559 |  -1.657 |  -0.167 |  -1.824 |
|      -1.861 |      -1.559 |  -1.661 |  -0.163 |  -1.825 |
|      -1.857 |      -1.559 |  -1.665 |  -0.160 |  -1.825 |
|      -1.854 |      -1.559 |  -1.669 |  -0.157 |  -1.826 |
|      -1.855 |      -1.559 |  -1.673 |  -0.153 |  -1.826 |
|      -1.850 |      -1.559 |  -1.676 |  -0.150 |  -1.826 |
|      -1.853 |      -1.558 |  -1.680 |  -0.147 |  -1.827 |
|      -1.852 |      -1.558 |  -1.683 |  -0.144 |  -1.827 |
|      -1.855 |      -1.558 |  -1.687 |  -0.141 |  -1.828 |
|      -1.859 |      -1.558 |  -1.690 |  -0.138 |  -1.828 |
|      -1.863 |      -1.558 |  -1.694 |  -0.135 |  -1.829 |
|      -1.863 |      -1.558 |  -1.697 |  -0.132 |  -1.829 |
|      -1.865 |      -1.558 |  -1.700 |  -0.130 |  -1.830 |
|      -1.866 |      -1.558 |  -1.704 |  -0.127 |  -1.831 |
|      -1.869 |      -1.557 |  -1.707 |  -0.124 |  -1.831 |
|      -1.866 |      -1.557 |  -1.710 |  -0.122 |  -1.832 |
|      -1.861 |      -1.557 |  -1.713 |  -0.119 |  -1.832 |
|      -1.866 |      -1.557 |  -1.716 |  -0.117 |  -1.833 |
|      -1.861 |      -1.557 |  -1.719 |  -0.114 |  -1.833 |
|      -1.857 |      -1.557 |  -1.722 |  -0.112 |  -1.834 |
|      -1.856 |      -1.557 |  -1.725 |  -0.109 |  -1.834 |
|      -1.856 |      -1.557 |  -1.727 |  -0.107 |  -1.834 |
|      -1.853 |      -1.557 |  -1.730 |  -0.105 |  -1.835 |
|      -1.852 |      -1.556 |  -1.732 |  -0.103 |  -1.835 |
|      -1.857 |      -1.556 |  -1.735 |  -0.100 |  -1.835 |
|      -1.859 |      -1.556 |  -1.737 |  -0.098 |  -1.836 |
|      -1.857 |      -1.556 |  -1.740 |  -0.096 |  -1.836 |
|      -1.859 |      -1.556 |  -1.742 |  -0.094 |  -1.836 |
|      -1.861 |      -1.556 |  -1.744 |  -0.092 |  -1.837 |
|      -1.867 |      -1.556 |  -1.747 |  -0.090 |  -1.837 |
|      -1.863 |      -1.556 |  -1.749 |  -0.089 |  -1.838 |
|      -1.862 |      -1.556 |  -1.751 |  -0.087 |  -1.838 |
|      -1.867 |      -1.556 |  -1.754 |  -0.085 |  -1.838 |
|      -1.867 |      -1.555 |  -1.756 |  -0.083 |  -1.839 |
|      -1.862 |      -1.555 |  -1.758 |  -0.081 |  -1.839 |
|      -1.858 |      -1.555 |  -1.760 |  -0.079 |  -1.840 |
|      -1.862 |      -1.555 |  -1.762 |  -0.078 |  -1.840 |
|      -1.860 |      -1.555 |  -1.764 |  -0.076 |  -1.840 |
|      -1.856 |      -1.555 |  -1.766 |  -0.075 |  -1.840 |
|      -1.855 |      -1.555 |  -1.768 |  -0.073 |  -1.841 |
|      -1.858 |      -1.555 |  -1.769 |  -0.072 |  -1.841 |
|      -1.855 |      -1.555 |  -1.771 |  -0.070 |  -1.841 |
|      -1.854 |      -1.555 |  -1.773 |  -0.069 |  -1.842 |
|      -1.861 |      -1.555 |  -1.775 |  -0.067 |  -1.842 |
|      -1.862 |      -1.555 |  -1.776 |  -0.066 |  -1.842 |
|      -1.860 |      -1.555 |  -1.778 |  -0.064 |  -1.842 |
|      -1.862 |      -1.555 |  -1.780 |  -0.063 |  -1.843 |
|      -1.865 |      -1.554 |  -1.781 |  -0.062 |  -1.843 |
|      -1.866 |      -1.554 |  -1.783 |  -0.060 |  -1.843 |
|      -1.865 |      -1.554 |  -1.785 |  -0.059 |  -1.844 |
|      -1.863 |      -1.554 |  -1.786 |  -0.058 |  -1.844 |
|      -1.864 |      -1.554 |  -1.788 |  -0.056 |  -1.844 |
|      -1.861 |      -1.554 |  -1.789 |  -0.055 |  -1.844 |
|      -1.862 |      -1.554 |  -1.791 |  -0.054 |  -1.845 |
|      -1.856 |      -1.553 |  -1.792 |  -0.053 |  -1.845 |
|      -1.858 |      -1.553 |  -1.793 |  -0.051 |  -1.845 |
|      -1.857 |      -1.553 |  -1.795 |  -0.050 |  -1.845 |
|      -1.857 |      -1.553 |  -1.796 |  -0.049 |  -1.845 |
|      -1.855 |      -1.553 |  -1.797 |  -0.048 |  -1.845 |
|      -1.861 |      -1.553 |  -1.798 |  -0.047 |  -1.846 |
|      -1.860 |      -1.553 |  -1.800 |  -0.046 |  -1.846 |
|      -1.858 |      -1.553 |  -1.801 |  -0.045 |  -1.846 |
|      -1.862 |      -1.553 |  -1.802 |  -0.044 |  -1.846 |
|      -1.864 |      -1.553 |  -1.803 |  -0.043 |  -1.846 |
|      -1.865 |      -1.552 |  -1.805 |  -0.042 |  -1.846 |
